Actual,Predicted
7086.2,7220.924667095353
395.2,873.9617886119831
6522.5,8151.623131020338
1569.9,1757.7998101332141
4235.7,4228.185453539505
3815.0,3660.5437942121735
3272.9,3349.6394542539
8211.4,7827.110756661592
19440.3,18354.268838448996
2781.4,2298.5257069711315
3987.7,3774.205107959986
3322.6,2942.7930075411296
4006.2,3727.904417896012
2668.6,2500.704536609186
7981.5,7301.488054379126
3208.6,2935.3746988951552
3960.5,3700.244078704456
2771.3,2496.8858098319706
5113.9,5380.856093959033
2183.5,2047.782622404915
227.6,-33.431826594684026
7559.7,7575.988159373484
4175.7,3737.1650178098444
8799.7,9431.887239852216
2610.1,3013.7069077941796
1619.1,1720.955665174677
1038.8,741.3322654809181
2889.3,3209.956503233532
3973.1,3581.0646136555097
7165.3,6997.751729261503
8862.0,9062.007242995658
3541.0,3697.8938612158618
3831.8,3657.2995760605063
3599.2,3555.8188858936865
3729.1,3878.6618437260277
876.9,748.4685048142946
2361.3,2286.1487183119843
8734.1,8699.503645097977
5218.8,4861.559025696677
3592.5,3669.672629429735
3611.7,3661.374768396965
1221.6,1236.6112230070958
7804.3,7648.814136665222
2562.8,2586.5099608620603
3225.2,2866.035983199554
12185.8,11098.497657967813
2848.9,2593.2672989816147
3347.9,3710.483232807843
9544.6,10343.184115428327
471.9,1186.6661161384636
3741.0,3274.7606119259817
735.4,402.864000558151
7665.1,6958.64816994071
11119.6,10738.158214788762
3555.4,3527.045443411518
9956.6,10166.961244529719
5537.8,6068.055512879591
7512.7,7850.282172325789
10166.8,10401.58413705753
3514.3,3528.4966393865852
2946.7,2987.332942324292
7876.7,8457.408492748009
1861.8,1473.672905181449
3116.1,3061.101376431421
10692.1,10588.565048299724
8353.0,8572.471965632833
3334.9,3341.3780129290626
3706.5,3556.146515227223
3516.6,3212.355147086151
3748.7,3525.451698424944
3823.4,4037.005614320058
8790.5,9004.543972479087
11337.3,12520.996185666178
3070.0,3314.8788388515477
1817.4,1929.9321269941665
1191.3,1340.048143153932
3605.3,3593.9640950507983
9299.6,9325.096449670027
967.2,1045.2337778242036
3073.6,3386.1991746539516
10220.4,10582.973343208892
3095.0,3117.7296149792473
3178.4,2972.2900197672807
1251.5,1186.3443060650698
1746.6,1497.7708141141648
11736.5,11974.678702656262
11311.7,10418.17108560318
2513.8,2176.747288561377
1318.0,1562.6198840856177
2903.3,2353.626473220598
4515.3,4390.941855427542
3102.9,2849.2442609274967
2549.5,2765.446992225663
3462.5,3500.384906053494
2694.4,2431.9916225740544
729.2,1144.9324868493368
11613.6,10435.718315208878
5022.5,4781.901151806256
3945.5,3709.733683048873
2778.4,3021.596360725418
3605.1,3725.878629566645
8164.0,8283.531718418899
6850.3,7425.855855702257
10305.5,10499.895768899523
3545.8,4111.830209916365
1975.8,2321.799481453354
9934.7,11039.51109143346
3280.5,2932.0994803262383
4279.4,4252.055758494442
4463.9,4545.255993938155
12992.4,11553.974339359958
6601.1,6457.5474575988865
3252.3,3414.472822231366
10939.9,10692.421424266906
2946.2,2606.8183673225667
1495.7,1539.246939452316
7882.0,7500.071476444451
3412.4,3379.0171707582285
9867.8,9889.863920195605
2164.0,2158.796589241045
2986.7,2338.7210568701357
3859.2,3695.464697969446
2150.9,2360.5658673985836
12139.7,11229.196106135287
3384.2,3750.3258296654767
5826.3,6702.319134428772
3955.5,3764.273255039074
8476.2,8139.215223443805
5878.8,6208.938255179464
1356.1,1417.748536079549
3336.5,3328.0212717717022
8713.8,8353.786362869223
1344.5,1446.12463471079
3074.8,2832.031203613684
9525.6,10554.818572402228
10911.9,11612.066035298625
11608.5,11643.230186312978
11073.7,11007.917355054635
966.7,977.8248021856798
2588.8,2854.2488608568765
12707.7,11746.188018340728
7787.2,8376.019837988797
3528.1,3618.5827737931486
794.3,416.1546567631831
7374.9,7615.339548142476
2809.3,2195.3159879646937
5530.5,5747.158832724055
2473.6,2236.024528371863
10302.2,10459.395863491018
2273.3,2205.279004073711
11258.4,11561.682756211516
1425.0,1292.8097707621728
3518.7,3552.263933077871
1507.9,1635.2348188559426
2400.4,2367.5363248336453
8537.1,8770.29753031002
3423.7,3386.103600500801
1676.7,1699.7971257254048
3764.1,3663.6945329355167
2654.7,2637.572246963924
3805.5,3597.7031939195676
3003.6,2798.953361283997
10609.5,10932.26798041857
2342.4,2490.826421618034
7849.7,8405.68709679883
1092.8,1081.19705921708
5533.0,5928.591736736964
8981.3,9095.734150741127
2320.8,2237.507282928049
1415.1,1204.3372482413633
7535.6,7457.8434512045005
1240.2,1201.385304537669
4053.0,3390.806735206579
5874.2,5760.674468106119
8963.7,9617.907556639804
11726.2,11432.755072017428
5923.9,6196.616558273288
1250.5,1336.611085835999
2355.0,2115.4278967288064
1080.9,1265.1511176158765
3486.6,3338.4643229202575
3052.8,2900.853406197859
3051.0,3343.375982192383
3722.6,3266.326193106661
648.2,862.0706675235215
6054.3,6616.7751464420235
7566.4,7234.671397809661
3740.7,3660.581396040894
3092.3,3136.9771252083683
7056.3,8040.777256144467
1140.8,1257.08625078988
10284.8,10531.43691573811
1668.2,1791.3038386853968
1133.9,2596.9824428303455
7044.3,7470.036195669434
8975.4,9495.719762198738
10922.9,10448.010327921724
942.6,727.3832078774303
3551.4,3186.956883686371
10202.4,9757.296597430099
2892.8,3700.848844913673
1565.4,1459.155317727049
7083.8,7839.0012613754025
1277.5,1467.8495758401714
3789.0,3940.9621630671554
2461.7,2202.9897570108315
3034.9,2899.6311653003595
8099.6,7716.268939204072
